id,datetime,open,high,low,close,volume
CFFEX.T2212,2022-09-05 15:07:00,101.695,101.695,101.685,101.69,184.0
CFFEX.T2212,2022-09-05 15:08:00,101.69,101.7,101.69,101.7,114.0
CFFEX.T2212,2022-09-05 15:09:00,101.7,101.71,101.7,101.705,228.0
CFFEX.T2212,2022-09-05 15:10:00,101.705,101.71,101.7,101.71,172.0
CFFEX.T2212,2022-09-05 15:11:00,101.71,101.72,101.705,101.715,399.0
CFFEX.T2212,2022-09-05 15:12:00,101.715,101.715,101.7,101.71,290.0
CFFEX.T2212,2022-09-05 15:13:00,101.71,101.715,101.705,101.71,197.0
CFFEX.T2212,2022-09-05 15:14:00,101.71,101.715,101.705,101.71,419.0
CFFEX.T2212,2022-09-06 09:30:00,101.8,101.805,101.765,101.775,1782.0
CFFEX.T2212,2022-09-06 09:31:00,101.775,101.775,101.755,101.765,627.0
CFFEX.T2212,2022-09-06 09:32:00,101.765,101.78,101.765,101.775,530.0
CFFEX.T2212,2022-09-06 09:33:00,101.775,101.795,101.775,101.775,448.0
CFFEX.T2212,2022-09-06 09:34:00,101.775,101.8,101.775,101.79,613.0
CFFEX.T2212,2022-09-06 09:35:00,101.79,101.79,101.775,101.79,381.0
CFFEX.T2212,2022-09-06 09:36:00,101.79,101.795,101.785,101.785,188.0
CFFEX.T2212,2022-09-06 09:37:00,101.785,101.81,101.785,101.81,555.0
CFFEX.T2212,2022-09-06 09:38:00,101.81,101.815,101.8,101.81,532.0
CFFEX.T2212,2022-09-06 09:39:00,101.81,101.81,101.795,101.8,244.0
CFFEX.T2212,2022-09-06 09:40:00,101.8,101.8,101.785,101.785,366.0
CFFEX.T2212,2022-09-06 09:41:00,101.785,101.795,101.785,101.795,118.0
CFFEX.T2212,2022-09-06 09:42:00,101.795,101.8,101.79,101.8,107.0
CFFEX.T2212,2022-09-06 09:43:00,101.8,101.805,101.795,101.8,373.0
CFFEX.T2212,2022-09-06 09:44:00,101.8,101.805,101.8,101.805,76.0
CFFEX.T2212,2022-09-06 09:45:00,101.805,101.805,101.8,101.805,38.0
CFFEX.T2212,2022-09-06 09:46:00,101.805,101.805,101.795,101.795,249.0
CFFEX.T2212,2022-09-06 09:47:00,101.795,101.8,101.79,101.795,137.0
CFFEX.T2212,2022-09-06 09:48:00,101.795,101.8,101.795,101.8,139.0
CFFEX.T2212,2022-09-06 09:49:00,101.8,101.8,101.8,101.8,106.0
CFFEX.T2212,2022-09-06 09:50:00,101.8,101.815,101.8,101.815,354.0
CFFEX.T2212,2022-09-06 09:51:00,101.815,101.82,101.81,101.82,174.0
CFFEX.T2212,2022-09-06 09:52:00,101.82,101.82,101.815,101.82,237.0
CFFEX.T2212,2022-09-06 09:53:00,101.82,101.83,101.82,101.83,412.0
CFFEX.T2212,2022-09-06 09:54:00,101.83,101.835,101.825,101.835,430.0
CFFEX.T2212,2022-09-06 09:55:00,101.835,101.84,101.825,101.83,517.0
CFFEX.T2212,2022-09-06 09:56:00,101.83,101.83,101.82,101.825,378.0
CFFEX.T2212,2022-09-06 09:57:00,101.825,101.825,101.815,101.825,350.0
CFFEX.T2212,2022-09-06 09:58:00,101.825,101.84,101.825,101.835,275.0
CFFEX.T2212,2022-09-06 09:59:00,101.835,101.84,101.83,101.835,374.0
CFFEX.T2212,2022-09-06 10:00:00,101.835,101.84,101.825,101.825,383.0
